open,high,low,close,volume,50ma,label
65.1,65.91,64.94,65.26,78073100,95533494.0,1
65.55,65.64,64.29,64.35,72729300,95747792.0,2
64.84,65.26,63.99,65.1,75431300,95709306.0,2
65.74,65.88,65.16,65.51,69650700,95487532.0,2
65.16,66.07,64.91,65.94,66934700,95794972.0,2
65.54,66.57,65.47,66.37,65474500,95730544.0,2
66.56,67.16,66.3,66.72,80018400,95736634.0,2
67.0,67.24,66.79,67.05,62775300,95317852.0,2
66.89,67.54,66.85,67.5,63398300,95091528.0,2
67.7,68.14,67.66,68.09,72635500,95265352.0,2
68.47,70.15,68.44,69.76,99526700,95921560.0,1
70.43,70.7,67.97,69.56,133515900,96769708.0,1
69.44,70.33,69.44,70.24,78430800,93928618.0,1
70.24,71.24,69.9,71.17,96191200,92070580.0,1
71.09,71.34,70.26,70.37,84448000,91308070.0,1
70.78,71.04,70.0,70.89,137610200,92248744.0,1
71.75,72.15,68.84,69.13,158951800,92875188.0,1
69.52,70.58,69.17,70.23,88540900,92852564.0,1
70.24,70.58,69.74,69.93,68924100,92551648.0,1
70.11,70.22,69.02,69.58,68722500,92705060.0,1
69.72,70.48,69.41,70.48,61156900,92814540.0,1
70.18,70.76,69.97,70.3,66303300,92485778.0,1
70.54,70.63,69.74,70.1,55843900,91481712.0,1
69.92,70.41,68.95,68.97,65655100,91256774.0,2
69.25,70.13,68.98,70.05,69829200,91455070.0,1
69.98,70.2,69.23,69.85,56863100,91230846.0,1
69.66,70.51,69.58,69.98,51069200,90592586.0,1
69.71,70.28,69.57,70.06,49305200,89853526.0,1
70.36,71.23,70.23,71.08,70604800,90083784.0,1
70.86,71.2,70.58,70.65,79480100,89875758.0,1
70.65,70.95,69.74,69.79,61236000,89397042.0,1
69.85,70.43,69.71,69.92,52234700,86725758.0,2
69.88,70.04,69.22,69.31,48479200,83201860.0,2
69.66,70.14,69.13,70.13,65506700,82491738.0,2
69.91,70.27,69.78,69.95,55931400,82116188.0,2
70.12,70.77,70.11,70.48,57327900,80544212.0,2
70.53,72.15,70.52,71.78,100345700,80554222.0,2
72.17,73.48,71.78,73.47,90862100,80087154.0,2
73.95,75.14,73.72,74.83,79531900,79655086.0,1
75.09,75.94,74.13,74.18,118136200,78521296.0,2
75.13,76.22,75.05,76.21,112742000,76965602.0,1
76.1,76.6,75.47,76.04,94452400,77032928.0,1
77.06,77.4,76.22,76.42,111895000,77686042.0,1
76.14,76.27,75.3,75.36,86088100,78221696.0,1
75.48,76.65,75.48,76.23,80123400,78683962.0,1
75.84,76.42,75.52,76.11,69567400,78774528.0,1
76.3,76.84,75.32,75.54,89929700,78803704.0,1
75.65,76.08,75.37,75.43,65572500,78669234.0,0
75.74,75.75,74.51,74.61,83205500,78719578.0,1
74.69,75.72,74.69,75.02,70648200,78838200.0,2
74.8,75.29,74.47,74.69,57475600,78426250.0,2
73.98,74.21,72.51,74.12,141465800,79800980.0,2
73.95,74.02,73.17,73.27,80077200,79893898.0,2
73.4,74.23,73.32,73.88,109103400,80682952.0,1
76.44,76.8,75.73,76.72,125326600,81850790.0,1
76.69,76.96,76.17,76.39,41888700,81379074.0,0
76.45,76.64,75.82,75.89,51002000,80798746.0,0
75.88,75.96,75.29,75.37,56471100,80672662.0,0
75.02,75.37,74.33,74.62,63407400,80672844.0,0
74.58,75.53,74.55,75.5,55771100,80335556.0,0
74.78,74.96,74.29,74.44,58671200,79518446.0,0
74.4,74.51,72.73,72.8,98116900,78810466.0,1
72.33,73.58,71.81,73.2,103152700,79304904.0,1
73.25,73.47,72.39,72.68,79302300,78967126.0,1
72.51,73.42,72.49,73.14,64632400,78570814.0,2
73.58,73.59,72.04,72.2,69787200,77214354.0,2
72.65,72.78,71.47,71.72,76244000,75560198.0,1
71.31,73.01,71.31,72.1,94623200,75681844.0,2
72.43,73.58,72.36,73.53,83140400,75966170.0,1
74.49,75.39,74.24,75.01,97909700,76549914.0,1
74.68,74.94,74.24,74.59,57319500,76473166.0,1
74.22,74.3,72.66,72.76,106684900,77280798.0,1
72.8,74.02,72.73,73.89,82131700,77806554.0,0
74.14,75.0,73.72,74.22,94996300,78393378.0,0
74.01,74.89,73.32,74.85,100809800,79012990.0,0
74.55,74.77,73.31,73.49,107338700,80022502.0,0
74.02,74.66,73.44,74.08,138719700,81775512.0,0
68.47,69.31,67.57,68.16,266380800,86117024.0,1
67.82,68.28,67.1,67.39,125702500,87218978.0,2
67.63,68.16,66.84,67.26,169625400,89021884.0,2
66.64,67.49,66.42,67.37,116199300,90121150.0,2
67.64,68.33,67.19,67.49,100366000,91083776.0,2
68.08,68.56,67.66,68.47,94170300,91997598.0,2
68.17,69.34,68.13,68.98,82086200,92329188.0,2
69.05,69.52,68.75,69.38,64441300,92499386.0,2
70.58,70.79,70.04,70.35,92570100,93204230.0,2
70.22,72.02,70.13,71.62,86389800,92925112.0,2
71.83,72.8,71.68,72.56,70564200,92519154.0,1
72.69,73.05,72.19,72.55,77025200,92469020.0,1
72.38,73.76,72.32,73.7,76849500,91643286.0,0
73.44,73.92,73.27,73.64,68231100,90753068.0,0
73.92,74.62,73.86,73.92,65062900,90165278.0,0
73.75,74.04,72.34,72.75,78442000,89496218.0,0
72.16,72.7,71.62,71.91,76464500,89303746.0,1
72.13,72.37,71.02,71.11,69696200,89095202.0,1
70.82,71.74,70.72,71.42,72227400,89148402.0,1
71.67,71.69,70.53,70.68,57988000,88509568.0,1
70.89,71.08,69.8,70.04,69054300,88579204.0,2
70.01,71.59,69.86,71.44,75470500,88424504.0,1
71.63,72.12,70.68,71.24,92992200,88871384.0,1
70.86,71.84,70.78,71.45,59695300,88915778.0,1
71.89,72.11,71.45,71.92,64785000,87382162.0,1
71.88,72.4,71.63,72.07,50015700,86780932.0,1
72.13,72.35,71.49,71.85,46372200,85526308.0,1
71.9,72.02,71.22,71.81,55182400,84123424.0,1
71.53,72.2,71.53,71.88,44646000,84178570.0,1
72.49,72.94,72.1,72.58,69806100,84554652.0,1
