open,high,low,close,volume,prior_high,50ma,next_close
102.2,103.57,102.2,102.63,56016165,109.77,34306992.0,96.21
71.83,72.8,71.68,72.56,70564200,75.21,92519154.0,72.55
60.67,60.87,59.22,60.01,131693800,63.51,137399948.0,59.69
92.08,93.13,91.98,93.13,31916000,94.55,49011004.0,93.38
73.03,73.71,72.65,73.24,97053600,75.21,156845710.0,74.36
51.96,54.83,51.83,53.54,242412800,57.49,114823576.0,53.92
56.38,56.5,55.4,55.44,79380000,57.49,112066948.0,56.28
90.27,90.58,89.17,89.82,62777000,87.32,72717262.0,89.44
72.8,73.36,72.67,73.33,50190000,73.0,79452212.0,73.45
83.03,84.98,82.46,84.92,137442900,89.07,113237222.0,84.24
74.3,74.77,74.11,74.71,83813800,75.21,146477170.0,76.22
116.65,117.16,113.22,116.52,20034594,117.69,35573491.0,116.46
71.44,71.75,71.19,71.31,49886200,73.0,84337302.0,71.94
58.33,59.23,58.18,58.83,105457100,57.49,118154428.0,59.42
67.82,68.28,67.1,67.39,125702500,75.21,87218978.0,67.26
109.91,112.8,108.98,109.64,46746712,97.42,59339574.0,111.06
87.72,88.11,86.97,87.14,92681400,89.07,105469224.0,85.28
94.94,95.28,94.25,95.09,32240187,100.37,41158383.0,92.42
94.28,95.73,93.62,95.01,46471652,98.39,50282236.0,92.47
73.44,73.92,73.27,73.64,68231100,75.21,90753068.0,73.92
55.52,57.26,55.46,56.79,160081600,57.49,116572204.0,58.46
83.64,84.7,83.48,84.7,110690300,79.05,92035566.0,86.92
91.93,92.68,91.18,92.61,40444914,100.37,41741265.0,93.41
75.65,76.08,75.37,75.43,65572500,71.56,78669234.0,74.61
97.84,98.5,96.92,97.44,59725174,98.39,56264827.0,93.73
106.99,108.19,106.42,108.18,25873950,96.45,41615835.0,109.29
124.99,125.29,122.98,123.92,52674786,128.71,46050794.0,123.56
110.36,110.94,109.03,109.49,37086862,117.69,33709904.0,109.9
97.88,98.26,97.47,97.75,30136990,100.37,36348024.0,98.78
56.05,57.04,55.6,56.86,117118400,63.51,135584498.0,57.0
123.87,124.67,123.49,124.61,36222447,126.18,43004702.0,125.69
109.72,110.54,109.66,110.06,28428917,117.69,39404816.0,111.73
76.48,76.58,74.25,74.32,147816200,75.21,153112876.0,74.97
105.99,109.94,105.18,109.77,60208036,111.98,52411799.0,107.68
